pq_id,source_type,author,publication_title,date,title,document_type,tca,copyright,university_news,city,state,census_region
2409841526,Newspapers,"Garcia, Uriel J","Arizona Republic; Phoenix, Ariz.",2020-06-06,"Phoenix, 2017: 'I can't breathe'",Feature,0,Copyright 2020 - THE ARIZONA REPUBLIC - All Rights Reserved.,0,PHOENIX,AZ,West
2409663646,Newspapers,"Rice, Rachel; Currier, Joel; Photographers David Carson; Cohen, Robert","St. Louis Post - Dispatch; St. Louis, Mo.",2020-06-05,"Thousands gather again across St. Louis region calling for reform, change",News,0,"Copyright Pulitzer, Inc. Jun 5, 2020",0,ST. LOUIS,MO,North Central
2412491158,Newspapers,"Wedell, Katie; Kelly, Cara; McManus, Camille; Fernando, Christine",USA Today (Online); Arlington,2020-06-13,George Floyd is not alone. 'I can’t breathe' uttered by dozens in fatal police holds across U.S.,News,0,"Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Jun 13, 2020",0,ARLINGTON,VA,South
2408192439,Newspapers,NA,"The Tennessean; Nashville, Tenn.",2020-06-01,Bad actors amid a peaceful protest,"Opinions, Editorial",0,Copyright 2020 - THE TENNESSEAN - All Rights Reserved.,0,NASHVILLE,TN,South
2413983772,Newspapers,"Bliss, Jessica; BRINLEY HINEMAN","The Tennessean; Nashville, Tenn.",2020-06-16,Mothers of 2 men killed by police share pain,News,0,Copyright 2020 - THE TENNESSEAN - All Rights Reserved.,0,NASHVILLE,TN,South
2415281091,Newspapers,NA,"The Tennessean; Nashville, Tenn.",2020-06-21,What communities can gain by defunding police,Editorial,0,Copyright 2020 - THE TENNESSEAN - All Rights Reserved.,0,NASHVILLE,TN,South
2414701545,Newspapers,NA,"Targeted News Service; Washington, D.C.",2020-06-10,House Judiciary Committee Issues Testimony From NAACP Legal Defense & Educational Fund,News,0,Targeted News Service,0,WASHINGTON,DC,Northeast
2412681812,Newspapers,"Serrano, Ken; GOUDSWARD, ANDREW","Asbury Park Press; Asbury Park, N.J.",2020-06-14,Mental illness dominant factor in region's fatal police shootings,News,0,Copyright 2020 - ASBURY PARK PRESS - All Rights Reserved.,0,ASBURY PARK,NJ,Northeast
2409824183,Newspapers,"RAMSETH, LUKE","The Clarion Ledger; Jackson, Miss.",2020-06-06,Protesters condemn AG's decision on case: Manslaughter charge dropped against white ex-cop in black man's death,News,0,Copyright 2020 - THE CLARION-LEDGER - All Rights Reserved.,0,JACKSON,MS,South
2410930199,Newspapers,"Rojas, Rick","New York Times, Late Edition (East Coast); New York, N.Y.",2020-06-10,"Racial Fault Line Exposed, Mississippi Town Comes Together: [National Desk]",News,0,"Copyright New York Times Company Jun 10, 2020",0,NEW YORK,NY,Northeast
2416824741,Newspapers,"Gates, Jimmie E; BEVERIDGE, LICI","The Clarion Ledger; Jackson, Miss.",2020-06-25,Court sides with Petal police in Davis shooting,News,0,Copyright 2020 - THE CLARION-LEDGER - All Rights Reserved.,0,JACKSON,MS,South
